id,name,brand,image_url,annual_fee1,annual_fee2,record,type,,
140,S-OIL LPG KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/140/card_img/20368/140card.png,5000,10000,30,VISA,,10000
141,KB국민 펫코노미 카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/141/card_img/20369/141card.png,30000,30000,30,Mastercard,,15000
142,톡톡 Pay카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/142/card_img/20370/142card.png,20000,20000,40,Mastercard,,15000
143,청춘대로 꿀맛α카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/143/card_img/20371/143card.png,15000,15000,40,Mastercard,,10000
144,청춘대로 꿀잠α카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/144/card_img/23904/144card.png,15000,15000,40,Mastercard,,15000
145,청춘대로 꿀잼α카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/145/card_img/23905/145card.png,15000,15000,40,Mastercard,,15000
146,The Easy카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/146/card_img/20372/146card.png,15000,15000,0,Mastercard,,15000
147,레일포인트 KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/147/card_img/23906/147card.png,19000,0,30,Mastercard,,10000
148,삼성페이 KB국민카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/148/card_img/20374/148card.png,15000,0,40,Mastercard,,20000
149,탄탄대로 올쇼핑카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/149/card_img/20377/149card.png,15000,15000,40,Mastercard,,15000
150,탄탄대로 Miz&Mr 티타늄카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/150/card_img/23907/150card.png,30000,30000,40,Mastercard,,10000
151,탄탄대로 오토카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/151/card_img/20378/151card.png,50000,50000,50,Mastercard,,18000
152,에듀카드,KB국민카드,https://api.card-gorilla.com:8080/storage/card/152/card_img/20379/152card.png,35000,0,100,Mastercard,,18000
155,Lady다솜카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/155/card_img/23908/155card.png,6000,8000,30,VISA,,15000
156,Shopping Save카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/156/card_img/20380/156card.png,6000,8000,10,VISA,,5000
157,아시아나클럽카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/157/card_img/23909/157card.png,15000,0,0,VISA,,10000
158,스카이패스카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/158/card_img/23910/158card.png,15000,0,0,VISA,,15000
159,TAKE(테이크)5카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/159/card_img/26570/159card.png,10000,12000,30,Mastercard,,12000
160,알뜰주유카드(할인형),NH농협카드,https://api.card-gorilla.com:8080/storage/card/160/card_img/23912/160card.png,6000,8000,20,JCB,,5000
161,NC다이노스카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/161/card_img/20381/161card.png,8000,10000,30,VISA,,50000
162,#ing(샵핑)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/162/card_img/20382/162card.png,8000,10000,30,Mastercard,,20000
163,#ing+(샵핑플러스)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/163/card_img/20383/163card.png,23000,25000,30,Mastercard,,100000
164,ME+(미플러스)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/164/card_img/20384/164card.png,23000,25000,30,Mastercard,,20000
165,ME(미)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/165/card_img/23913/165card.png,8000,10000,30,Mastercard,,15000
166,BAZIC(베이직)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/166/card_img/20389/166card.png,8000,8000,0,Mastercard,,25000
167,BAZIC+(베이직플러스)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/167/card_img/20390/167card.png,23000,25000,0,Mastercard,,17000
168,아이행복카드(교육)(비씨),NH농협카드,https://api.card-gorilla.com:8080/storage/card/168/card_img/23915/168card.png,0,0,30,UnionPay,,55000
169,아이행복카드(쇼핑)(비씨),NH농협카드,https://api.card-gorilla.com:8080/storage/card/169/card_img/23914/169card.png,0,0,30,UnionPay,,15000
