id,title,content,card_id
3463,테마파크,주요 놀이공원 할인 최대 50%,887
3464,자동차/하이패스,하이브리드 서비스 제공,887
3465,항공마일리지,"1,500원당 1마일리지 적립",888
3466,주유,SK에너지 리터당 50원 할인,888
3467,생활,(주택임대료형) 주택임대료 자동이체 신청 시 최대 1만 5천원 할인,889
3468,통신,"(생활형) 통신, 인터넷, 보안업체 자동이체 시 결제일 할인서비스 제공",889
3469,공과금/렌탈,(공통서비스) 아파트 관리비 3천원 할인,889
3470,교육/육아,(공통서비스) 교육료 1% 할인,889
3471,병원/약국,병원·약국 1% 할인,889
3472,마트/편의점,(공통서비스) 3대 마트 1% 할인,889
3473,금융,(기본 제공) 신한은행 우대 서비스,889
3474,바우처,스페셜기프트 - 매년 2만원 캐시백 지급,890
3475,간편결제,e스타일할인 - 매월 스마일페이 및 롯데 제휴사 매장 결제일 할인,890
3476,간편결제,e스마일할인 - 매년 스마일페이 가맹점 결제일 할인,890
3477,생활,영라이프할인 - 라이프 가맹점 10~12% 결제일 할인,890
3478,프리미엄,VISA Platinum 서비스,890
3479,제휴/PLCC,B tv 월정액 콘텐츠 50% 할인,893
3480,생활,"커피, 편의점, 패스트푸드, 주유소 등 생활업종 5% 청구할인",893
3481,적립,TV 포인트 적립 서비스,893
3482,모든가맹점,모든 가맹점 0.7% 포인트 적립,895
3483,쇼핑,"신한은행 결제계좌 연결 시, 쇼핑 1.3% 추가적립",895
3484,해외,"신한은행 결제계좌 연결 시, 해외 1.3% 추가적립",895
3485,생활,"신한은행 결제계좌 연결 시, 통신/대중교통/도시가스 3.3% 추가적립",895
3486,멤버십포인트,"아름포인트 0.5% 적립, 아름다운가맹점 이용시 0.3% 추가적립",897
3487,카페/디저트,스타벅스 컵 사이즈 업그레이드 서비스,897
3488,주유,"3,6,9 Day 제휴 주유소 이용 시 마이신한포인트 적립",897
3489,통신,"LG헬로비전 통신요금 자동이체 1~36개월 차 월 17,000원/20,000원 할인
LG헬로비전 통신요금 자동이체 37개월 차부터 월 6,000원 할인",899
3490,적립,"업종별 0.5~2% 적립
월 100만원 이상 이용 시 1.5배 적립",899
3491,통신,"SK브로드밴드 요금 자동이체 1~36개월 차 월 15,000원/20,000원 할인
SK브로드밴드 요금 자동이체 37개월 차부터 월 10,000원 할인",901
3492,적립,"업종별 0.5~2% 적립
월 100만원 이상 이용 시 1.5배 적립",901
3493,자동차/하이패스,LPG 충전 시 리터당 60원 청구 할인,902
3494,적립,"E1 오렌지포인트 기본 0.4~0.7% 적립
E1 오렌지포인트 추가 대상 가맹점 1~5% 적립",902
3495,적립,업종별 0.5% M포인트 적립,902
3496,할인,"외식 15% / 영화 2천원 청구할인
놀이공원 50%까지 청구할인",902
3497,금융,CMA계좌 금리 최대 2.6% 추가 제공,903
3498,주유,GS칼텍스 60~100원/L 청구할인,903
3499,교통,"(후불 교통카드 선택 시) 버스, 지하철, 택시 3~7% 할인",903
3500,테마파크,"롯데월드, 서울랜드, 에버랜드, 캐리비안베이 입장권 및 자유이용권 현장할인",903
3501,영화/문화,"인터파크, YES24 예매 현장 할인",903
3502,헤어,헤어샵 할인 서비스,903
3503,영화/문화,"프로야구, 프로농구 할인",903
3504,마트/편의점,"메가마트 매장 결제 시 메가포인트 1.0% 적립
메가마트 자체 추가적립 0.5%, 총 1.5% 적립",905
3505,모든가맹점,메가마트 제외 모든가맹점 메가포인트 0.5% 적립,905
3506,교통,"택시, 버스, 지하철 3~5% 할인 (모바일 교통거래 포함)",905
3507,주유,GS칼텍스 60원/L 할인,905
